"espn_id","uid","slug","abbreviation","displayName","shortDisplayName","name","nickname","location","color","alternateColor","isActive","isAllStar","logo"
"362","s:1~l:14~t:362","hampton","HAMP","Hampton","Hampton","Pirates","Hampton","Hampton","0067AC",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png"
"70","s:1~l:14~t:70","hartford","HART","Hartford","Hartford","Hawks","Hartford","Hartford","D60008",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/42.png"
"847","s:1~l:14~t:847","hawaii-hilo","HILO","Hawai'i Hilo","HAWAIIHILO","Vulcans","HAWAIIHILO","Hawai'i Hilo",NA,NA,TRUE,FALSE,NA
"832","s:1~l:14~t:832","hawaii-pacific","HPAC","Hawai'i Pacific","HAWAIIPAC","Sea Warriors","HAWAIIPAC","Hawai'i Pacific",NA,NA,TRUE,FALSE,NA
"368","s:1~l:14~t:368","howard","HOW","Howard","Howard","Bison","Howard","Howard","9e0b0e",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/47.png"
"375","s:1~l:14~t:375","iu-indianapolis","IUPU","IU Indianapolis","IU Indy","Jaguars","IU Indy","IU Indianapolis","ca3a44",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/85.png"
"369","s:1~l:14~t:369","idaho","IDHO","Idaho","Idaho","Vandals","Idaho","Idaho","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/70.png"
"370","s:1~l:14~t:370","idaho-state","IDST","Idaho State","Idaho St","Bengals","Idaho St","Idaho State","ef8c00",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/304.png"
"373","s:1~l:14~t:373","iowa-state","ISU","Iowa State","Iowa St","Cyclones","Iowa St","Iowa State","d62949",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/66.png"
"1276","s:1~l:14~t:1276","jalc","JOH","JALC","JALC","Jalc","JALC","JALC",NA,NA,TRUE,FALSE,NA
"451","s:1~l:14~t:451","kansas-city","UMKC","Kansas City","Kansas City","Roos","Kansas City","Kansas City","004A8B",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/140.png"
"376","s:1~l:14~t:376","la-salle","LAS","La Salle","La Salle","Explorers","La Salle","La Salle","000063",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2325.png"
"171","s:1~l:14~t:171","le-moyne","LEM","Le Moyne","Le Moyne","Dolphins","Le Moyne","Le Moyne",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2330.png"
"834","s:1~l:14~t:834","lincoln","LINC","Lincoln","LINCOLN","Lions","LINCOLN","Lincoln",NA,NA,TRUE,FALSE,NA
"926","s:1~l:14~t:926","lindenwood","LIN","Lindenwood","Lindenwood","Lions","Lindenwood","Lindenwood",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2815.png"
"1247","s:1~l:14~t:1247","linfield","LIN","Linfield","Linfield","Wildcats","Linfield","Linfield",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/203.png"
"1189","s:1~l:14~t:1189","loras-college","LOR","Loras College","Loras College","Duhawks","Loras College","Loras College",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/263.png"
"83","s:1~l:14~t:83","louisville","LOU","Louisville","Louisville","Cardinals","Louisville","Louisville","DE0018",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/97.png"
"381","s:1~l:14~t:381","loyola-chicago","L-IL","Loyola Chicago","Loyola Chicago","Ramblers","Loyola Chicago","Loyola Chicago","9d1244",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2350.png"
"174","s:1~l:14~t:174","loyola-marymount","LMU","Loyola Marymount","LMU","Lions","LMU","Loyola Marymount","880029",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2351.png"
"929","s:1~l:14~t:929","miami-gardens","STFL","MIAMI GARDENS","STTHOM(FL)","Bobcats","STTHOM(FL)","MIAMI GARDENS",NA,NA,TRUE,FALSE,NA
"928","s:1~l:14~t:928","mount-vernon","CRIA","MOUNT VERNON","Cornell IA","Rams","Cornell IA","MOUNT VERNON",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2155.png"
"823","s:1~l:14~t:823","muskogee","BACN","MUSKOGEE","BACONECG","Bacone","BACONECG","MUSKOGEE",NA,NA,TRUE,FALSE,NA
"383","s:1~l:14~t:383","marquette","MARQ","Marquette","Marquette","Golden Eagles","Marquette","Marquette","083963",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/269.png"
"385","s:1~l:14~t:385","maryland-eastern-shore","UMES","Maryland Eastern Shore","MD Eastern","Hawks","MD Eastern","Maryland Eastern Shore","5c2301",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2379.png"
"129698","s:1~l:14~t:129698","mercyhurst","MER","Mercyhurst","Mercyhurst","Lakers","Mercyhurst","Mercyhurst",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2385.png"
"837","s:1~l:14~t:837","mid-america-christian","MACU","Mid-America Christian","MCA","Evangels","MCA","Mid-America Christian",NA,NA,TRUE,FALSE,NA
"389","s:1~l:14~t:389","montana","MONT","Montana","Montana","Grizzlies","Montana","Montana","63104a",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/149.png"
"390","s:1~l:14~t:390","montana-state","MTST","Montana State","Montana St","Bobcats","Montana St","Montana State","010670",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/147.png"
"392","s:1~l:14~t:392","morgan-state","MORG","Morgan State","Morgan St","Bears","Morgan St","Morgan State","0505aa",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png"
"95","s:1~l:14~t:95","nc-state","NCST","NC State","NC State","Wolfpack","NC State","NC State","D60039",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/152.png"
"1277","s:1~l:14~t:1277","nmcc","NOR","NMCC","NMCC","Nmcc","NMCC","NMCC",NA,NA,TRUE,FALSE,NA
"838","s:1~l:14~t:838","ny-institute-of-technology","NYIT","NY Institute of Technology","NYIT","Yellow Jackets","NYIT","NY Institute of Technology",NA,NA,TRUE,FALSE,NA
"849","s:1~l:14~t:849","nebraska-kearney","NBKE","Nebraska-Kearney","Neb Kearney","Lopers","Neb Kearney","Nebraska-Kearney",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2438.png"
"397","s:1~l:14~t:397","new-hampshire","UNH","New Hampshire","New Hampshire","Wildcats","New Hampshire","New Hampshire","004371",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/160.png"
"401","s:1~l:14~t:401","north-carolina-at","NCAT","North Carolina A&T","NC A&T","Aggies","NC A&T","North Carolina A&T","0505aa",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png"
"402","s:1~l:14~t:402","north-carolina-central","NCCU","North Carolina Central","NC Central","Eagles","NC Central","North Carolina Central","860016",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png"
"310","s:1~l:14~t:310","north-dakota-state","NDST","North Dakota State","N Dakota St","Bison","N Dakota St","North Dakota State",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png"
"839","s:1~l:14~t:839","north-georgia","NTGA","North Georgia","NORGE","Saints","NORGE","North Georgia",NA,NA,TRUE,FALSE,NA
"840","s:1~l:14~t:840","northwestern-college-ia","NWIA","Northwestern College (IA)","NWCOLLIOWA","Northwestern College (Ia)","NWCOLLIOWA","Northwestern College (IA)",NA,NA,TRUE,FALSE,NA
"186","s:1~l:14~t:186","northwestern-state","NWST","Northwestern State","N'Western St","Demons","N'Western St","Northwestern State","68565F",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png"
"1279","s:1~l:14~t:1279","pearl","PEA","PEARL","PEARL","Pearl","PEARL","PEARL",NA,NA,TRUE,FALSE,NA
"835","s:1~l:14~t:835","pineville","LOUC","PINEVILLE","LACOLLEGE","Wildcats","LACOLLEGE","PINEVILLE",NA,NA,TRUE,FALSE,NA
"413","s:1~l:14~t:413","pacific","PAC","Pacific","Pacific","Tigers","Pacific","Pacific","ff5109",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/279.png"
"417","s:1~l:14~t:417","portland-state","PRST","Portland State","Portland St","Vikings","Portland St","Portland State","005e60",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png"
"419","s:1~l:14~t:419","providence","PROV","Providence","Providence","Friars","Providence","Providence","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png"
"1238","s:1~l:14~t:1238","queens-university","QUOC","Queens University","Queens","Royals","Queens","Queens University",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2511.png"
"1191","s:1~l:14~t:1191","roosevelt","ROO","ROOSEVELT","ROOSEVELT","Lakers","ROOSEVELT","ROOSEVELT",NA,NA,TRUE,FALSE,NA
"424","s:1~l:14~t:424","robert-morris","RMU","Robert Morris","Robert Morris","Colonials","Robert Morris","Robert Morris","3d4262",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png"
"1275","s:1~l:14~t:1275","sanjacjc","SAN","SANJACJC","SANJACJC","Sanjacjc","SANJACJC","SANJACJC",NA,NA,TRUE,FALSE,NA
"1278","s:1~l:14~t:1278","scof","STA","SCOF","SCOF","Scof","SCOF","SCOF",NA,NA,TRUE,FALSE,NA
