"full_name","id","espn_id","abv","short_name","owner","primary","secondary","logo","nickname","venue","type","head_coach","offensive_coordinator","defensive_coordinator"
"Friends University Friends","FRI07247","527","FRIE","Friends","Friends University",NA,NA,NA,"Friends",NA,"NCAAF",NA,NA,NA
"Georgetown College Kentucky Tigers","GTO43321","2245","GTOWNCOLL","G'Town Col","Georgetown College Kentucky",NA,NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2245.png","Tigers",NA,"NCAAF",NA,NA,NA
"Graceland University Graceland","GRC12530","530","GRC","Graceland","Graceland University","000000",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/530.png","Graceland",NA,"NCAAF",NA,NA,NA
"Haskell Indian Nations Univ Jayhawks","HAS58280","535","HASKELL","Haskell","Haskell Indian Nations Univ","000000",NA,NA,"Jayhawks",NA,"NCAAF",NA,NA,NA
"Holland College Hurricanes","HOL29423","108354","HOL","Holland College","Holland College",NA,NA,"https://a.espncdn.com/guid/9840c56b-7307-362b-9947-6ce6f5161ebd/logos/primary_logo_on_white_color.png","Hurricanes",NA,"NCAAF",NA,NA,NA
"Indiana Wesleyan Wildcats","INW05817","111756","INWESL","INDWESLYAN","Indiana Wesleyan",NA,NA,NA,"Wildcats",NA,"NCAAF",NA,NA,NA
"Indianapolis Greyhounds","IND32897","2292","INDY","Indy","Indianapolis","000000",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2292.png","Greyhounds","Key Stadium","NCAAF","Chris Keevers","Michael Engle","Rahju Blackmon / Logan Plumley"
"Jamestown College Jimmies","JAM11046","2939","JAM","Jamestown","Jamestown College","000000",NA,NA,"Jimmies",NA,"NCAAF",NA,NA,NA
"Kansas Wesleyan Kansas Wesleyan","KAN05580","547","KANSA","KS Weslyan","Kansas Wesleyan","000000",NA,NA,"Ks Wesleyan",NA,"NCAAF",NA,NA,NA
"Keiser University Keiser","KEI48230","126110","KEISER","Keiser Univers","Keiser University",NA,NA,NA,"Keiser",NA,"NCAAF",NA,NA,NA
